対応日,対応箇所,内容カテゴリ,対応内容（要約）,担当区分,緊急度,備考
2024-01-15,101号室,水漏れ,配管からの水漏れを緊急対応。配管交換を実施し、修理完了。,管理会社対応,高,配管老朽化による
2024-01-20,202号室,騒音,夜間の騒音について近隣から苦情。注意喚起を実施。,情報提供のみ,中,音楽の音量について
2024-01-25,303号室,鍵の紛失,鍵を紛失したため、鍵交換を実施。費用は入居者負担。,管理会社対応,高,鍵交換費用発生
2024-02-01,101号室,設備故障,エアコンの不具合を報告。修理業者を手配し、対応完了。,管理会社対応,中,エアコン故障
2024-02-05,404号室,ゴミ出し違反,指定日以外にゴミを出していた。注意喚起を実施。,情報提供のみ,低,ルール違反
2024-02-10,202号室,ペット飼育,無許可でのペット飼育が判明。管理会社に報告し、対応協議中。,オーナー対応,高,規則違反
2024-02-15,303号室,駐車場利用,駐車場の利用方法について問い合わせ。利用ルールを説明。,情報提供のみ,低,利用方法の確認
2024-02-20,101号室,原状回復,退去時の原状回復について問い合わせ。手続きを説明。,情報提供のみ,中,退去予定
2024-02-25,505号室,契約更新,契約期間の延長を希望。手続きを案内し、申請書を提出。,管理会社対応,中,契約延長申請
2024-03-01,202号室,リフォーム申請,室内のリフォームを希望。申請書を提出し、審査中。,管理会社対応,中,壁紙張替え希望
