intent,category,keywords,answer,escalation,notes
ペット飼育の可否,規則,ペット 動物 飼育,"ペットの飼育は原則として禁止されています。ただし、事前に管理会社への申請と承認が必要です。",management_required,"要申請"
ゴミ出し_基本,ゴミ,ゴミ 出し いつ 何曜日 収集日 ペットボトル 資源ごみ 資源 プラ 空きびん 缶,"国東市安岐町下原地区（安岐地区Aコース）の収集日は以下の通りです。可燃ごみ：月・木、資源物（プラ）：金、不燃物・有害ごみ：第2・第4水曜、ペットボトル：第1・第3水曜、空きびん・缶：第2・第4火曜。朝8時までに指定の集積所へ出してください。",bot_only,"物件掲示カレンダー優先"
ゴミ出し_時間,ゴミ,ゴミ 何時 まで,"ゴミは収集日の当日朝8時までに出してください。収集後の後出しには対応できません。",bot_only,"市ルール準拠"
ゴミ出し_量,ゴミ,ゴミ 量 何袋,"1回に出せる量は5袋までです。大量の場合は持ち込みや許可業者をご利用ください。",bot_only,""
ゴミ出し_年末年始,ゴミ,年末 年始 ゴミ,"2025年は12月30日まで通常収集、12月31日〜2026年1月3日は収集休止です。",bot_only,""
ゴミ出し_分別変更,ゴミ,分別 変更 2025,"2025年は分別ルールに重要な変更があります。指定袋やペットボトルの扱いが変わるためご注意ください。",bot_only,"詳細QAに誘導"
ゴミ袋_変更,ゴミ,指定袋 変更,"2025年10月1日から可燃・不燃は共通袋になります。ペットボトル専用袋は廃止され、資源プラと同じ袋になります。",bot_only,"日付条件分岐"
ゴミ_空きびん,ゴミ,油 びん 分別,"食用油が入っていたびんは、空きびんではなく不燃物として出してください（2025年4月1日〜）。",bot_only,"誤分別多発"
ゴミ_電池,ゴミ,電池 捨て 方,"乾電池・ライターは別袋にし『電池』『ライター』と表示してください。充電式電池は窓口回収です。",bot_only,"火災注意"
ゴミ_充電池,ゴミ,リチウム 電池,"リチウムイオン電池等の充電式電池はゴミに出せません。市役所などの窓口回収をご利用ください。",bot_only,"最重要安全"
ゴミ_残置,ゴミ,ゴミ 残っ てる,"収集されずシールが貼られた場合、理由を確認し再分別して次回出してください。",bot_only,""
ゴミ_悪天候,ゴミ,台風 雨 ゴミ,"悪天候時は無理に出さず、次の収集日に出してください。",bot_only,""
ゴミ_集積所,ゴミ,ゴミ どこ に 出す,"必ずお住まいの地域に割り当てられた集積所へ出してください。他の集積所は利用できません。",bot_only,""
ゴミ_不燃ごみ,ゴミ,不燃 不燃ごみ 不燃ゴミ 不燃物 いつ 何曜日 ですか,"不燃物・有害ごみの収集日は第2・第4水曜日です。朝8時までに指定の集積所へ出してください。",bot_only,"不燃ごみ専用QA"
ゴミ_可燃ごみ,ゴミ,可燃 可燃ごみ 燃える 燃やす いつ 何曜日,"可燃ごみの収集日は月曜日と木曜日です。朝8時までに指定の集積所へ出してください。",bot_only,"可燃ごみ専用QA"
設備_エアコン,設備,エアコン 効か ない,"エアコンの症状（冷えない・異音・異臭・水漏れ）と発生時期を教えてください。内容により修理手配します。",conditional_owner,"水漏れ・焦げ臭は即エスカ"
設備_水漏れ,設備,水 漏れ,"水漏れは緊急です。止水できる場合は止水し、漏れている箇所の写真を送ってください。業者を手配します。",owner_required,"緊急"
設備_電球交換,設備,電球 切れ 交換 台所 照明 消耗品 部屋 室内 電球交換 電球が切れた 電球を交換 電球を交換して 電球を交換してもらえますか,"電球などの消耗品は入居者負担となります。ただし、入居時に切れている場合は貸主負担です。交換が必要な場合は、ご自身で交換していただくか、管理会社にご連絡ください。",bot_only,"消耗品の負担区分"
騒音_苦情,生活,うるさい 騒音,"日時・音の種類・頻度を教えてください。確認のうえ管理会社より注意喚起します。",management_required,""
契約_更新,契約,契約 更新,"契約満了の約2か月前に更新案内をお送りします。更新料のお支払いと書類返送で手続き完了です。",bot_only,""
契約_解約,契約,解約 退去,"退去は原則1か月前までにご連絡ください。日程確認後、立会いを行います。",management_required,""
宅配ボックス,共用部,宅配 ボックス,"宅配ボックスは1階エントランスにあります。不在票の暗証番号でお受け取りください。",bot_only,""
インターネット,共用部,ネット 繋がら ない,"無料インターネットの場合、物件掲示のサポート窓口へご連絡ください。個別契約はプロバイダへ。",bot_only,""
鍵_紛失,防犯,鍵 なく した,"鍵の紛失時はシリンダー交換が必要です。至急管理会社で手配します（費用は原則入居者負担）。",management_required,"緊急"
共用部_照明,共用部,共用部 共用部照明 廊下 エントランス 階段 共用部の照明 共用部照明が 共用部の電球,"共用部照明の不具合ですね。管理会社で交換手配します。",management_required,"共用部専用（部屋内の電球とは区別）"
contract_overview,契約,この部屋の契約って何ですか 契約 何,"本契約は居住用建物の普通賃貸借契約です。",bot_only,""
contract_term,契約,契約期間はいつからいつまでですか 契約期間 期間,"契約期間は契約書に記載された期間（2年間）です。",bot_only,""
usage_purpose,契約,この部屋は何に使えますか 用途 使える,"居住用としてのみ使用できます。事務所や店舗利用はできません。",bot_only,""
rent,契約,家賃の金額と支払い方法は 家賃 支払い,"家賃および支払方法は契約書（賃料・費用欄）に記載のとおりです。",bot_only,""
common_fee,契約,共益費って何ですか 共益費,"共用部分の維持管理のための費用です。毎月お支払いいただきます。",bot_only,""
repair_responsibility,契約,修理代は誰が払いますか 修理 負担,"通常の使用による劣化は貸主負担、故意・過失による破損は借主負担です。",bot_only,""
deposit,契約,敷金はありますか 敷金,"本契約では敷金はありません。",bot_only,""
antisocial,契約,反社会的勢力に関する条項はありますか 反社会的勢力,"契約当事者は反社会的勢力に該当しないことを相互に保証しています。",bot_only,""
care_duty,契約,部屋の使い方に注意点はありますか 使い方 注意点,"善良な管理者の注意をもって使用する義務があります。",bot_only,""
prohibited,契約,やってはいけないことは何ですか 禁止 やってはいけない,"転貸、用途変更、近隣迷惑行為などは禁止されています。",bot_only,""
equipment_repair,契約,設備の修理や交換はどうなりますか 設備 修理 交換,"修繕・設備交換は別表の定めに基づきます。",bot_only,""
unusable,契約,部屋が使えなくなった場合は 使えない 滅失,"滅失や重大な毀損で使用不能となった場合、契約は終了します。",bot_only,""
termination,契約,契約解除されることはありますか 解除 契約解除,"家賃滞納などの債務不履行がある場合、解除されることがあります。",bot_only,""
cancellation,契約,解約したい場合はどうすればいいですか 解約,"解約は1か月前までに通知が必要です。",bot_only,""
contract_end,契約,契約が自動的に終わることはありますか 契約終了 自動,"建物が滅失した場合などに契約は消滅します。",bot_only,""
move_out,契約,退去時に必要なことは 退去 明け渡し,"退去時には原状回復を行い、部屋を明け渡す必要があります。",bot_only,""
restoration,契約,原状回復の基準は 原状回復,"国土交通省の原状回復ガイドラインに準拠します。",bot_only,""
renewal,契約,更新料はかかりますか 更新料,"更新料はかかりません。",bot_only,""
fees,契約,契約に関する費用負担は 費用負担,"更新手続きや証明書発行等の費用は借主負担となる場合があります。",bot_only,""
entry,契約,管理会社が部屋に入ることはありますか 立入り 入る,"修繕や点検など正当な理由がある場合、立入りがあります。",bot_only,""
guarantor,契約,連帯保証人は何を負いますか 連帯保証人,"借主の一切の債務について連帯して責任を負います。",bot_only,""
guarantee_company,契約,保証会社は使いますか 保証会社,"家賃債務保証会社を利用します。",bot_only,""
dispute,契約,トラブルが起きたらどうしますか トラブル,"まずは当事者間の協議による解決を原則とします。",bot_only,""
court,契約,裁判になった場合の管轄は 裁判 管轄,"物件所在地を管轄する裁判所となります。",bot_only,""
delay_interest,契約,支払いが遅れた場合は 支払い 遅延,"遅延した場合、年14.6％の遅延損害金が発生します。",bot_only,""
other_terms,契約,契約に書いていないことはどうなりますか 契約 書いていない,"契約に定めのない事項は協議して決定します。",bot_only,""
cleaning_fee,契約,退去時の清掃費用は 清掃費用 ハウスクリーニング,"ハウスクリーニング費用が発生します。",bot_only,""
restoration_cost,契約,原状回復費用の考え方は 原状回復費用,"壁紙・床・設備などは経過年数に応じて負担割合が決まります。",bot_only,""
restoration_wallpaper,契約,クロス 破損 壁紙 破れ 損傷 クロスの破損 壁紙の破損,"クロスの破損については、通常退去時に原状回復として清算となります。経過年数に応じて負担割合が決まります。さらに確認したいことがあれば管理会社に問い合わせてください。",bot_only,"退去時清算"
moveout_cost_estimate,契約,退去費用の目安は 退去費用,"退去時清掃費用の目安は別表に記載されています。",bot_only,""

