対応日,対応箇所,内容カテゴリ,対応内容（要約）,担当区分,緊急度,備考
2023-01-16,共有部,ゴミ出しマナー,ゴミ置き場が散乱。袋の口を閉める等マナー注意、清掃実施。,管理会社対応,中,
2023-02-04,共有部,駐車マナー,砂利駐車場の駐車方法について注意文投函。,管理会社対応,低,
2023-02-07,共有部,共用灯,共用灯の確認依頼。オーナー手配で修理。,オーナー対応,中,
2023-02-10,408号室,騒音,早朝の生活音について注意喚起。,管理会社対応,中,
2023-03-23,共有部,ゴミ出しマナー,ゴミ散乱。排水口周辺のゴミ回収処分。,管理会社対応,低,
2023-03-28,共有部,ゴミ出しマナー,ゴミ散乱。持ち帰り処分。,管理会社対応,低,
2023-03-30,401号室,駐車マナー,駐車場誤認による無断駐車。再発時は連絡依頼。,管理会社対応,低,
2023-04-01,405号室,インターネット,無料インターネット不通。J:COM連絡案内。,情報提供のみ,低,
2023-04-16,共有部,ゴミ出しマナー,ゴミ散乱。清掃対応。,管理会社対応,低,
2023-05-08,312号室,内装建具設備,換気口不良・玄関ドア建付不良。業者手配。,オーナー対応,中,
2023-05-30,共有部,ゴミ出しマナー,自動車部品投棄。注意文掲示。,管理会社対応,低,
2023-05-30,203号室,内装建具設備,網戸破れ。業者修理。,オーナー対応,中,
2023-06-30,307号室,水道設備,洗面台ホース水漏れ。修理対応。,オーナー対応,高,山口水道さんに直接連絡OK
2023-07-03,共有部,ゴミ出しマナー,ゴミ散乱。回収処分。,管理会社対応,低,
2023-07-28,共有部,ゴミ出しマナー,ゴミ散乱。回収処分。,管理会社対応,低,
2023-07-30,401号室,駐車マナー,無断駐車。注意掲示。,管理会社対応,低,
2023-08-03,206号室,内装建具設備,玄関扉が重い。業者手配。,オーナー対応,中,
2023-08-20,共有部,ゴミ出しマナー,ゴミ散乱。注意文投函。,管理会社対応,低,
2023-08-24,共有部,ゴミ出しマナー,ゴミ散乱。回収処分。,管理会社対応,低,
2023-08-24,303号室,ゴミ出しマナー,法人契約者ゴミ散乱。担当者連絡。,管理会社対応,低,
2023-08-25,301号室,ガス器具,給湯器不具合。ガス会社対応。,オーナー対応,高,
2023-08-26,共有部,共用灯,共用灯切れ。修理対応。,オーナー対応,中,
2023-08-31,307号室,漏水,階下漏水発生。修理工事実施。,オーナー対応,高,山口水道さんに直接連絡OK
2023-09-11,共有部,消防関係,消防立入検査立会い。指摘なし。,管理会社対応,低,
2023-09-26,共有部,ゴミ出しマナー,ゴミ袋破損による散乱。回収処分。,管理会社対応,低,
2023-12-07,303号室,水道設備,洗面下水漏れ。業者手配。,オーナー対応,高,山口水道さんに直接連絡OK
2023-12-07,303号室,エアコン,エアコン不具合。交換対応。,オーナー対応,中,
2023-12-10,407号室,水道設備,台所蛇口水漏れ。部品交換。,オーナー対応,高,山口水道さんに直接連絡OK
2023-12-22,308号室,水道設備,浴槽ゴム栓破損。交換。,オーナー対応,中,山口水道さんに直接連絡OK
2024-01-13,共有部,水道設備,受水槽水漏れ。修理対応。,オーナー対応,高,山口水道さんに直接連絡OK
2024-02-16,310号室,水道設備,蛇口が固い。修理対応。,オーナー対応,中,山口水道さんに直接連絡OK
2024-02-16,310号室,電器設備,換気扇・照明不良。修理対応。,オーナー対応,中,
2024-03-30,共有部,ゴミ出しマナー,分別誤りゴミ回収。,管理会社対応,低,エアコン：Totyouさん、電灯関連：ひまわり電化さん
2024-06-01,共有部,ゴミ出しマナー,ゴミ散乱。回収処分。,管理会社対応,低,
2024-12-12,402号室,水道設備,水質検査結果の開示依頼。資料投函。,情報提供のみ,低,
2025-01-09,310号室,駐車マナー,駐車マナー違反。全戸注意文投函。,管理会社対応,低,
2025-02-27,201号室,水道設備,水が出ない。元栓閉鎖が原因。,オーナー対応,中,入居初日
2025-03-02,108号室,内装建具設備,ペーパーホルダーぐらつき。調整対応。,管理会社対応,低,
2025-03-16,412号室,エアコン,エアコン不具合。交換対応。,オーナー対応,中,
2025-03-31,102号室,電器設備,照明器具破損。交換。,オーナー対応,中,エアコン：Totyouさん、電灯関連：ひまわり電化さん
2025-04-03,共有部,ゴミ出しマナー,指定外袋での投棄。回収処分。,管理会社対応,低,
