intent,category,keywords,answer,escalation,priority,notes
退去時の原状回復,退去手続き,原状回復 退去 清掃,退去時は原状回復が必要です。通常の使用による経年劣化は除きます。壁紙の汚れ、カーペットの通常の摩耗は原状回復の対象外です。,bot_only,high,
契約期間の延長,契約,延長 更新 契約期間,契約期間の延長は1ヶ月前までに申請が必要です。管理会社に書面で申請してください。,management_required,medium,
管理費の支払い,支払い,管理費 支払い 振込,管理費は毎月25日までに指定口座への振込でお支払いください。遅延した場合は遅延金が発生します。,bot_only,high,
ペット飼育の可否,規則,ペット 動物 飼育,ペットの飼育は原則として禁止されています。ただし、事前に管理会社への申請と承認が必要です。,management_required,high,要申請
駐車場の利用,施設,駐車場 車 駐車,駐車場は1住戸あたり1台まで利用可能です。駐車場使用料は別途必要です。,bot_only,medium,
ゴミ出しのルール,規則,ゴミ 分別 廃棄,ゴミは指定された曜日の朝8時までに指定場所へ出してください。分別ルールに従ってください。,bot_only,high,
室内のリフォーム,規則,リフォーム 改築 工事,室内のリフォームは事前に管理会社への申請が必要です。構造変更を伴う工事は原則禁止です。,management_required,high,要申請
近隣への配慮,規則,騒音 マナー 近隣,夜間22時以降は大きな音を出さないようご配慮ください。近隣への配慮をお願いします。,bot_only,medium,
鍵の紛失,緊急,鍵 紛失 ロック,鍵を紛失した場合は、すぐに管理会社に連絡してください。交換費用が発生します。,management_required,high,緊急対応
設備故障時の対応,設備,故障 修理 不具合,設備に故障が発生した場合は、管理会社に連絡してください。緊急時は24時間対応可能です。,management_required,high,緊急対応
